feature,cover,gain,weight
consumption_per_log_sqm_roll_min_12h,2496.094970703125,415.078369140625,137.0
consumption_per_log_sqm_roll_min_168h,1264.47021484375,1833.8145751953125,151.0
consumption_per_log_sqm_roll_min_24h,5252.7919921875,2925.546875,221.0
consumption_per_log_sqm_roll_min_3h,3306.23681640625,25030.7890625,304.0
consumption_per_log_sqm_roll_min_48h,3425.216796875,1881.2635498046875,143.0
consumption_per_log_sqm_roll_min_6h,4777.4775390625,4439.8076171875,134.0
consumption_per_log_sqm_roll_std_12h,1090.4256591796875,217.5312957763672,195.0
consumption_per_log_sqm_roll_std_168h,800.7356567382812,394.6863708496094,174.0
consumption_per_log_sqm_roll_std_24h,3205.719482421875,328.9320983886719,189.0
consumption_per_log_sqm_roll_std_3h,2299.32568359375,2475.126220703125,1062.0
consumption_per_log_sqm_roll_std_48h,1881.232421875,324.1604919433594,142.0
consumption_per_log_sqm_roll_std_6h,3521.068115234375,452.71112060546875,279.0
consumption_per_sqm_lag_12h,1309.54052734375,266.2322692871094,111.0
consumption_per_sqm_lag_167h,1130.3377685546875,1796.5892333984375,302.0
consumption_per_sqm_lag_168h,1328.25,756.9013671875,196.0
consumption_per_sqm_lag_169h,2993.58447265625,723.8961181640625,633.0
consumption_per_sqm_lag_1h,2351.77587890625,6873.29736328125,656.0
consumption_per_sqm_lag_23h,1206.8707275390625,554.1871337890625,178.0
consumption_per_sqm_lag_24h,1518.105224609375,489.7083740234375,95.0
consumption_per_sqm_lag_25h,2904.625732421875,306.2630615234375,195.0
consumption_per_sqm_lag_2h,2477.179931640625,1357.699462890625,317.0
consumption_per_sqm_lag_335h,1459.6400146484375,1166.339111328125,200.0
consumption_per_sqm_lag_336h,886.5714111328125,170.3060760498047,98.0
consumption_per_sqm_lag_337h,1782.8375244140625,385.8450927734375,197.0
consumption_per_sqm_lag_3h,2824.44482421875,3776.236328125,589.0
consumption_per_sqm_lag_47h,935.6025390625,247.768310546875,78.0
consumption_per_sqm_lag_48h,888.25,151.66297912597656,56.0
consumption_per_sqm_lag_49h,773.7954711914062,252.16307067871094,88.0
consumption_per_sqm_lag_4h,1580.106201171875,7820.0087890625,160.0
consumption_per_sqm_lag_5h,1622.9840087890625,2412.7509765625,125.0
consumption_per_sqm_lag_6h,2041.016845703125,1683.525634765625,119.0
consumption_per_sqm_lag_71h,1283.2435302734375,408.7643127441406,115.0
consumption_per_sqm_lag_72h,414.5869445800781,171.5054168701172,46.0
consumption_per_sqm_lag_73h,530.046875,205.1025390625,64.0
consumption_per_sqm_roll_max_12h,885.7825927734375,1297.1116943359375,69.0
consumption_per_sqm_roll_max_168h,621.1494140625,1020.51806640625,87.0
consumption_per_sqm_roll_max_24h,477.4193420410156,465.67767333984375,62.0
consumption_per_sqm_roll_max_3h,2137.438720703125,2603.680419921875,155.0
consumption_per_sqm_roll_max_48h,723.0499877929688,352.7843322753906,40.0
consumption_per_sqm_roll_max_6h,1546.0,1877.111328125,61.0
consumption_per_sqm_roll_mean_12h,1040.8787841796875,795.2822875976562,99.0
