feature,cover,gain,weight
consumption_per_log_sqm_roll_median_12h,3945.697021484375,116.07038116455078,297.0
consumption_per_log_sqm_roll_median_168h,3849.6376953125,146.5152130126953,356.0
consumption_per_log_sqm_roll_median_24h,3489.252197265625,180.9445343017578,329.0
consumption_per_log_sqm_roll_median_3h,11844.740234375,528.5722045898438,320.0
consumption_per_log_sqm_roll_median_48h,3942.076904296875,62.56919479370117,299.0
consumption_per_log_sqm_roll_median_6h,7100.54931640625,293.013427734375,173.0
consumption_per_log_sqm_roll_min_12h,5326.14697265625,287.9447937011719,422.0
consumption_per_log_sqm_roll_min_168h,5569.8369140625,285.4754638671875,337.0
consumption_per_log_sqm_roll_min_24h,5559.53173828125,795.0956420898438,395.0
consumption_per_log_sqm_roll_min_3h,8183.73486328125,11515.81640625,456.0
consumption_per_log_sqm_roll_min_48h,3827.64111328125,429.0880126953125,262.0
consumption_per_log_sqm_roll_min_6h,11967.9755859375,771.2568359375,365.0
consumption_per_log_sqm_roll_std_12h,1516.9356689453125,66.7457504272461,901.0
consumption_per_log_sqm_roll_std_168h,2199.563720703125,83.57427978515625,754.0
consumption_per_log_sqm_roll_std_24h,3055.407958984375,123.94962310791016,701.0
consumption_per_log_sqm_roll_std_3h,3749.34765625,993.4408569335938,2275.0
consumption_per_log_sqm_roll_std_48h,2527.607666015625,84.14531707763672,609.0
consumption_per_log_sqm_roll_std_6h,2727.102783203125,241.19166564941406,1031.0
consumption_per_sqm_lag_12h,3006.221923828125,119.39742279052734,365.0
consumption_per_sqm_lag_167h,1704.9049072265625,1010.0697631835938,768.0
consumption_per_sqm_lag_168h,2504.55615234375,131.00762939453125,455.0
consumption_per_sqm_lag_169h,4116.78955078125,457.63519287109375,960.0
consumption_per_sqm_lag_1h,5726.13623046875,70776.78125,1284.0
consumption_per_sqm_lag_23h,1650.0,309.79437255859375,508.0
consumption_per_sqm_lag_24h,2694.211181640625,150.5326690673828,289.0
consumption_per_sqm_lag_25h,5124.3984375,113.26223754882812,477.0
consumption_per_sqm_lag_2h,3589.796630859375,711.0819091796875,693.0
consumption_per_sqm_lag_335h,1420.332763671875,260.9113464355469,565.0
consumption_per_sqm_lag_336h,757.2022705078125,96.09635925292969,356.0
consumption_per_sqm_lag_337h,2939.375732421875,162.31820678710938,511.0
consumption_per_sqm_lag_3h,3418.752197265625,2438.502197265625,843.0
consumption_per_sqm_lag_47h,1494.28369140625,126.76158905029297,363.0
consumption_per_sqm_lag_48h,2348.026123046875,59.34456253051758,269.0
consumption_per_sqm_lag_49h,1453.6158447265625,71.59326934814453,328.0
consumption_per_sqm_lag_4h,3120.84423828125,810.2347412109375,430.0
consumption_per_sqm_lag_5h,2677.133056640625,610.25146484375,346.0
consumption_per_sqm_lag_6h,3440.56689453125,403.5776062011719,291.0
consumption_per_sqm_lag_71h,1394.1595458984375,100.3074722290039,401.0
consumption_per_sqm_lag_72h,1355.7261962890625,56.78955841064453,263.0
consumption_per_sqm_lag_73h,1441.80859375,62.58376693725586,324.0
consumption_per_sqm_roll_max_12h,1348.2850341796875,270.2457275390625,207.0
consumption_per_sqm_roll_max_168h,5144.62060546875,295.6174011230469,274.0
consumption_per_sqm_roll_max_24h,1533.4410400390625,194.03616333007812,195.0
consumption_per_sqm_roll_max_3h,3264.2509765625,581.7011108398438,235.0
consumption_per_sqm_roll_max_48h,1550.1502685546875,181.977294921875,213.0
consumption_per_sqm_roll_max_6h,5116.04150390625,497.21380615234375,169.0
consumption_per_sqm_roll_mean_12h,1306.2867431640625,153.15074157714844,286.0
consumption_per_sqm_roll_mean_168h,1628.4591064453125,105.31184387207031,220.0
consumption_per_sqm_roll_mean_24h,1364.321044921875,116.34980010986328,243.0
consumption_per_sqm_roll_mean_3h,1751.191650390625,124.56816864013672,120.0
consumption_per_sqm_roll_mean_48h,1678.272216796875,65.32820129394531,191.0
consumption_per_sqm_roll_mean_6h,1248.5428466796875,305.137451171875,175.0
consumption_per_sqm_roll_median_12h,1571.0872802734375,132.87953186035156,275.0
consumption_per_sqm_roll_median_168h,1503.7603759765625,488.3618469238281,192.0
consumption_per_sqm_roll_median_24h,2052.045166015625,476.28314208984375,222.0
consumption_per_sqm_roll_median_3h,4026.239501953125,436.2711486816406,213.0
consumption_per_sqm_roll_median_48h,1856.5496826171875,52.15851974487305,191.0
consumption_per_sqm_roll_median_6h,2102.746826171875,1214.79736328125,162.0
consumption_per_sqm_roll_min_12h,2657.712890625,430.3995056152344,289.0
consumption_per_sqm_roll_min_168h,1651.65625,103.84711456298828,224.0
consumption_per_sqm_roll_min_24h,3128.311279296875,257.0767517089844,212.0
consumption_per_sqm_roll_min_3h,1960.1666259765625,1445.58642578125,228.0
consumption_per_sqm_roll_min_48h,2636.931640625,171.6492919921875,190.0
consumption_per_sqm_roll_min_6h,2638.117919921875,3668.56884765625,246.0
consumption_per_sqm_roll_std_12h,2713.611572265625,88.29625701904297,484.0
consumption_per_sqm_roll_std_168h,2626.9443359375,88.95602416992188,503.0
consumption_per_sqm_roll_std_24h,2671.3291015625,109.07485961914062,477.0
consumption_per_sqm_roll_std_3h,2679.89990234375,1468.20361328125,1397.0
consumption_per_sqm_roll_std_48h,3266.748779296875,88.24358367919922,434.0
consumption_per_sqm_roll_std_6h,4128.314453125,217.5972137451172,626.0
dayofweek,8099.5400390625,597.27099609375,274.0
dayofweek_cos,6745.75,258.3373718261719,84.0
dayofweek_sin,2602.371337890625,236.65664672851562,140.0
dayofyear,3338.423095703125,190.8928680419922,806.0
dayofyear_cos,3417.2333984375,262.5048522949219,604.0
dayofyear_sin,2021.6304931640625,156.1160125732422,736.0
hdd,1605.199951171875,106.7890396118164,5.0
hour,1702.35498046875,9167.4140625,369.0
hour_cos,2766.15380859375,325.9029541015625,91.0
hour_sin,2057.6640625,3101.40771484375,268.0
hour_x_dayofweek,2280.427978515625,262.6395568847656,638.0
is_weekend,753.5,334.58709716796875,2.0
log_building_size_m2,1256.8787841796875,13250.517578125,33.0
log_building_size_m2_x_air temperature,15750.33203125,189.37977600097656,265.0
log_building_size_m2_x_cloud_cover,7445.31201171875,37.91201400756836,109.0
log_building_size_m2_x_hour_cos,13078.6181640625,937.0979614257812,414.0
log_building_size_m2_x_hour_sin,10255.2060546875,1635.203857421875,754.0
season_Autumn,5673.888671875,143.58517456054688,27.0
season_Spring,732.0,92.62887573242188,5.0
season_Winter,747.6666870117188,84.06886291503906,12.0
visibility,6752.60693359375,60.283233642578125,328.0
visibility_lag_1h,1747.126953125,40.658660888671875,126.0
visibility_lag_24h,3197.9296875,41.697471618652344,242.0
visibility_lag_2h,1911.109375,49.88827896118164,128.0
visibility_lag_3h,4003.377685546875,46.85253143310547,143.0
visibility_roll_mean_12h,837.0098266601562,55.95964431762695,203.0
visibility_roll_mean_24h,2063.81982421875,49.80792236328125,261.0
visibility_roll_mean_3h,5797.591796875,53.97136688232422,125.0
visibility_roll_mean_6h,2449.810546875,42.20930099487305,153.0
visibility_roll_std_12h,3531.1943359375,55.309547424316406,247.0
visibility_roll_std_24h,3723.98828125,60.275699615478516,257.0
visibility_roll_std_3h,3617.275390625,60.844093322753906,207.0
visibility_roll_std_6h,1720.79296875,58.15346145629883,227.0
