Datetime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,14.125268817204304,14.608333333333336,11.431182795698929,11.363333333333335,14.91935483870968,14.129999999999995,13.154838709677414,12.974193548387094,14.243333333333329,18.13440860215053,17.71777777777777,14.625806451612892
1,13.943010752688174,14.400000000000004,11.107526881720435,11.005555555555556,15.586021505376344,14.479999999999995,13.497849462365586,13.391397849462361,14.461111111111107,18.493548387096766,17.165555555555546,14.289247311827944
2,13.864516129032262,14.230952380952386,11.575268817204305,11.25,15.45483870967742,14.271111111111107,13.417204301075264,13.390322580645156,14.372222222222216,18.35698924731182,16.817777777777767,14.055913978494614
3,13.855913978494627,14.167857142857146,11.46555555555556,11.134444444444446,15.239784946236561,13.947777777777775,13.247311827956985,13.333333333333329,14.17444444444444,18.23229166666666,16.732222222222212,13.920430107526872
4,14.23655913978495,14.513095238095243,11.808888888888895,11.29888888888889,15.245161290322581,13.915555555555551,13.276344086021501,13.445161290322575,14.42444444444444,18.26021505376343,16.912222222222212,14.013978494623645
5,15.81182795698925,16.040476190476195,12.335483870967746,11.75888888888889,15.507526881720432,13.906666666666663,13.277419354838704,13.5763440860215,14.61444444444444,18.563440860215046,17.2411111111111,14.210752688172033
6,18.360215053763444,18.371428571428574,13.67634408602151,12.828888888888889,16.91720430107527,14.759999999999996,13.787096774193545,14.04086021505376,14.872222222222216,19.296774193548377,18.542222222222215,15.38279569892472
7,22.63655913978495,22.365476190476194,16.84623655913979,16.10888888888889,20.18064516129032,17.693333333333328,15.017204301075264,16.384946236559134,17.73333333333333,22.23655913978494,21.601111111111102,17.81827956989246
8,26.717204301075274,25.98809523809524,20.67634408602151,19.71333333333333,24.004301075268817,21.116666666666664,16.56129032258064,19.372043010752684,21.572222222222216,25.834408602150532,25.934444444444434,20.902150537634398
9,30.276344086021506,29.22738095238096,23.979569892473123,22.986666666666668,27.044086021505375,24.079999999999995,17.9021505376344,22.344086021505372,25.70777777777777,29.61935483870967,29.88999999999999,23.19354838709676
10,31.860215053763444,30.63571428571429,25.490322580645167,24.073333333333334,28.383870967741935,25.05666666666666,18.849462365591396,23.66881720430107,27.14111111111111,31.339784946236556,32.08333333333333,24.289247311827946
11,32.468817204301075,31.327380952380956,26.041935483870972,24.58555555555556,29.026881720430108,25.648888888888887,19.54838709677419,24.387096774193544,27.659999999999993,32.39247311827957,32.926666666666655,24.721505376344076
12,32.48172043010753,31.48095238095238,26.264516129032263,24.70777777777778,29.36451612903226,25.956666666666663,19.706451612903223,24.75376344086021,27.82666666666666,32.802150537634404,32.89888888888888,24.95483870967741
13,32.315053763440865,31.395238095238096,25.856989247311834,24.505555555555553,29.378494623655914,25.831111111111106,19.332258064516125,24.85806451612903,27.664444444444438,32.78709677419354,32.62999999999999,24.976344086021495
14,31.80215053763441,30.98571428571429,25.106451612903232,23.934444444444445,29.125806451612902,25.644444444444442,18.940860215053757,24.66451612903225,27.417777777777772,32.1268817204301,32.06555555555555,24.662365591397837
15,30.79677419354839,30.008333333333336,23.891397849462372,22.91444444444444,28.55268817204301,24.68333333333333,18.68387096774193,23.76559139784946,26.38333333333333,30.63655913978494,31.597777777777768,24.36021505376343
16,29.04193548387097,28.71071428571429,22.290322580645164,21.623333333333335,27.670967741935485,23.30333333333333,18.206451612903223,22.007526881720423,24.92888888888888,28.751612903225798,30.486666666666657,23.410752688172032
17,26.786021505376347,27.200000000000006,20.875268817204304,20.508888888888887,26.333333333333336,21.381111111111107,17.649462365591393,20.077419354838707,23.038888888888884,27.19032258064515,28.709999999999987,22.434408602150526
18,23.50430107526882,24.661904761904765,19.633333333333336,19.63555555555556,24.820430107526885,19.86333333333333,17.308602150537627,18.670967741935478,21.771111111111107,26.330107526881715,25.687777777777764,20.49999999999999
19,20.282795698924733,21.63571428571429,18.179569892473122,18.344444444444445,21.965591397849465,17.921111111111106,16.04623655913978,17.039784946236555,19.983333333333327,24.665591397849454,22.736666666666657,18.580645161290313
20,17.84408602150538,19.234523809523814,16.875268817204304,17.13222222222222,19.521505376344084,16.406666666666663,14.605376344086018,15.732258064516124,18.402222222222218,23.05053763440859,20.476666666666656,16.990322580645152
21,16.59462365591398,17.778571428571432,15.431182795698929,15.370000000000001,16.77204301075269,14.71555555555555,12.998924731182791,14.115053763440857,16.64555555555555,21.243010752688164,19.00999999999999,15.995698924731172
22,15.69677419354839,16.62380952380953,14.215053763440865,13.945555555555556,15.231182795698926,13.931111111111107,12.556989247311824,13.201075268817199,15.33444444444444,19.77419354838709,18.477777777777767,15.48279569892472
23,14.735483870967746,15.233333333333338,12.137634408602155,12.145555555555555,14.706451612903226,13.739999999999997,12.780645161290316,12.807526881720426,14.621111111111105,18.804301075268807,17.924444444444433,14.813440860215042
