Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,13.919230769230767,14.155128205128202,14.562179487179483,14.632692307692306,14.42435897435897,14.181410256410253,14.10345911949685
1,14.032692307692304,14.285256410256407,14.54679487179487,14.371794871794869,14.382692307692306,14.326282051282048,14.282389937106915
2,14.146153846153842,14.226923076923073,14.483974358974356,14.191666666666665,14.26282051282051,14.246153846153844,14.23333333333333
3,14.078846153846152,14.097435897435894,14.324358974358972,14.006410256410252,14.125641025641023,14.12307692307692,14.22578616352201
4,14.590384615384611,14.28205128205128,14.569230769230765,14.167307692307691,14.265384615384612,14.041666666666664,14.08333333333333
5,15.335256410256408,14.834615384615383,15.135897435897432,14.634615384615383,14.736538461538458,14.213461538461537,14.230817610062891
6,16.959615384615383,16.07884615384615,16.73653846153846,15.985897435897433,15.932692307692305,14.820512820512818,14.73710691823899
7,19.97179487179487,20.02628205128205,21.042948717948715,20.27628205128205,19.58910256410256,15.896153846153842,15.308176100628927
8,23.592307692307692,24.757692307692306,26.11538461538461,25.381410256410255,23.49935897435897,17.435256410256407,15.721383647798739
9,26.74230769230769,29.27564102564102,30.487179487179485,29.99230769230769,26.989743589743586,19.148717948717945,15.969182389937105
10,28.491666666666667,31.10064102564102,32.19423076923077,31.631410256410255,28.069871794871794,20.635897435897434,16.194968553459116
11,29.401923076923076,31.680128205128202,32.97435897435897,32.30320512820512,28.612179487179485,21.533974358974355,16.40943396226415
12,29.922435897435893,31.94615384615384,33.207692307692305,32.391666666666666,28.676923076923075,21.672435897435893,16.5440251572327
13,29.9474358974359,31.933333333333334,33.113461538461536,32.00448717948718,28.39230769230769,21.325641025641023,16.667295597484273
14,29.76410256410256,31.80705128205128,32.662179487179486,31.19615384615384,27.64102564102564,20.52179487179487,16.82955974842767
15,29.10064102564102,30.857692307692307,31.682692307692303,29.9551282051282,26.35192307692307,19.341025641025638,17.167295597484276
16,27.827564102564104,29.254487179487175,29.73333333333333,28.066666666666663,24.506410256410255,18.22628205128205,17.565408805031442
17,26.13461538461538,27.25576923076923,27.11538461538461,25.904487179487173,22.724999999999998,17.52179487179487,17.855345911949684
18,24.105769230769226,25.157051282051277,24.51153846153846,23.585897435897433,20.92179487179487,17.136538461538457,17.571698113207542
19,21.507692307692306,22.48589743589743,21.75064102564102,21.253205128205124,18.54038461538461,16.21410256410256,16.676100628930815
20,19.538461538461533,20.41153846153846,19.885897435897434,19.48653846153846,16.214743589743588,14.9525641025641,15.63836477987421
21,17.278205128205123,18.241025641025637,18.085897435897433,17.855128205128203,14.413461538461537,13.899358974358972,14.896226415094338
22,15.745512820512818,16.667948717948715,16.78333333333333,16.44807692307692,13.924999999999995,13.596153846153843,14.384905660377356
23,14.376923076923076,15.149358974358972,15.364102564102561,15.094871794871791,13.937179487179485,13.795512820512819,14.009119496855343
