Datetime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,5.03763440860215,4.595238095238095,3.5483870967741935,2.1666666666666665,1.4301075268817203,0.9111111111111111,0.8602150537634409,1.053763440860215,1.1111111111111112,1.4838709677419355,3.7888888888888888,4.505376344086021
1,4.946236559139785,4.583333333333334,3.473118279569892,2.033333333333333,1.3225806451612903,0.8333333333333334,0.8924731182795698,0.9354838709677419,0.9666666666666667,1.4408602150537633,3.6444444444444444,4.344086021505376
2,4.924731182795699,4.523809523809524,3.440860215053763,2.0,1.3333333333333333,0.8666666666666667,0.7634408602150538,0.8709677419354839,0.9,1.4301075268817205,3.5888888888888886,4.333333333333334
3,5.010752688172043,4.559523809523809,3.444444444444444,1.9888888888888887,1.3118279569892473,0.8444444444444444,0.8494623655913978,0.8817204301075269,0.9555555555555555,1.3958333333333333,3.6,4.344086021505376
4,5.075268817204301,4.523809523809524,3.4888888888888885,2.1,1.3763440860215053,0.9111111111111111,0.7526881720430108,0.9784946236559139,1.0222222222222224,1.5053763440860215,3.7888888888888888,4.473118279569892
5,5.150537634408602,4.666666666666666,3.5913978494623655,2.2222222222222223,1.5053763440860215,0.9444444444444444,0.8602150537634409,1.064516129032258,1.1222222222222222,1.6774193548387097,3.9777777777777774,4.602150537634408
6,5.279569892473118,4.773809523809524,3.7526881720430105,2.355555555555555,1.6559139784946237,0.9777777777777777,0.8709677419354839,1.139784946236559,1.1888888888888889,1.8279569892473118,4.111111111111111,4.763440860215053
7,5.483870967741935,4.988095238095238,3.89247311827957,2.5222222222222217,1.7526881720430105,1.011111111111111,0.8924731182795698,1.1397849462365592,1.2,1.9139784946236558,4.144444444444444,4.849462365591398
8,5.795698924731182,5.154761904761905,3.978494623655914,2.622222222222222,1.8709677419354838,1.0333333333333334,0.9569892473118279,1.150537634408602,1.1777777777777778,1.935483870967742,4.133333333333334,4.881720430107527
9,5.967741935483871,5.261904761904762,4.0,2.6777777777777776,1.8709677419354838,1.0888888888888888,0.9462365591397849,1.1290322580645162,1.211111111111111,1.8817204301075268,4.144444444444444,4.903225806451613
10,6.032258064516129,5.3809523809523805,3.946236559139785,2.5555555555555554,1.8387096774193548,1.077777777777778,1.0,1.1075268817204302,1.2111111111111112,1.8279569892473118,4.055555555555555,4.838709677419355
11,5.913978494623656,5.571428571428571,4.043010752688172,2.4555555555555553,1.7096774193548387,1.1222222222222222,0.9569892473118279,1.118279569892473,1.2555555555555555,1.8387096774193548,4.011111111111111,4.870967741935484
12,5.870967741935484,5.8809523809523805,4.182795698924731,2.466666666666667,1.6774193548387097,1.1555555555555554,1.032258064516129,1.1612903225806452,1.311111111111111,2.1505376344086025,4.1,5.064516129032258
13,5.881720430107527,6.047619047619048,4.46236559139785,2.4888888888888885,1.6989247311827955,1.1777777777777778,0.989247311827957,1.2043010752688172,1.422222222222222,2.4838709677419355,4.477777777777778,5.354838709677419
14,6.129032258064516,6.25,4.634408602150537,2.5888888888888886,1.7741935483870968,1.222222222222222,1.021505376344086,1.2688172043010753,1.5222222222222221,2.7849462365591395,5.011111111111111,5.526881720430108
15,6.860215053763441,6.916666666666666,5.021505376344086,2.688888888888889,1.8494623655913978,1.2333333333333334,1.0,1.4193548387096775,1.5444444444444443,2.89247311827957,5.311111111111112,5.580645161290323
16,7.655913978494624,7.928571428571429,5.32258064516129,2.8666666666666667,1.849462365591398,1.277777777777778,1.053763440860215,1.5053763440860215,1.6777777777777776,2.827956989247312,5.333333333333333,5.516129032258065
17,7.806451612903226,8.845238095238095,5.967741935483871,3.0222222222222217,2.021505376344086,1.277777777777778,1.118279569892473,1.5591397849462365,1.8777777777777775,2.5698924731182795,5.044444444444445,5.419354838709677
18,7.032258064516129,8.857142857142858,6.064516129032258,3.066666666666667,2.129032258064516,1.277777777777778,1.1397849462365592,1.5806451612903225,2.011111111111111,2.4516129032258065,4.844444444444445,5.301075268817205
19,6.182795698924731,7.904761904761905,5.666666666666666,2.966666666666667,2.193548387096774,1.3444444444444443,1.182795698924731,1.6666666666666665,1.9666666666666666,2.3548387096774195,4.611111111111112,5.301075268817205
20,5.623655913978495,6.607142857142857,4.78494623655914,2.7,1.978494623655914,1.3,1.118279569892473,1.6666666666666665,1.7333333333333334,2.365591397849462,4.455555555555555,5.301075268817205
21,5.505376344086021,5.452380952380952,4.064516129032258,2.4555555555555553,1.7849462365591395,1.2888888888888888,1.1397849462365592,1.6021505376344085,1.5333333333333334,2.161290322580645,4.311111111111112,5.225806451612903
22,5.290322580645161,4.952380952380952,3.827956989247312,2.322222222222222,1.6559139784946237,1.1555555555555554,1.064516129032258,1.4301075268817205,1.4,1.9247311827956988,4.177777777777778,5.010752688172043
23,5.204301075268818,4.678571428571429,3.6451612903225805,2.211111111111111,1.4946236559139785,1.011111111111111,1.032258064516129,1.2580645161290323,1.2777777777777777,1.7096774193548387,4.022222222222222,4.763440860215053
