Datetime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,72.67258064516128,70.57619047619043,70.01612903225804,68.50888888888885,69.71612903225802,65.75999999999996,72.25591397849459,65.32258064516125,68.76555555555554,72.25806451612904,81.1,79.66666666666664
1,72.2795698924731,70.30357142857139,69.36344086021504,68.20555555555552,69.48064516129028,65.64777777777775,72.17634408602147,64.87204301075265,67.68777777777775,70.55376344086021,79.22222222222223,78.59569892473117
2,72.76344086021503,70.66428571428568,69.10215053763437,68.16222222222218,69.48924731182792,65.69111111111107,72.1086021505376,64.81397849462363,67.38333333333331,69.23548387096773,78.14444444444445,78.17741935483869
3,74.09462365591396,71.64642857142853,69.08777777777775,68.32222222222218,69.65268817204297,65.77999999999996,71.9075268817204,64.66774193548383,67.2022222222222,68.18124999999999,77.72666666666667,77.93870967741934
4,76.72043010752687,74.52619047619044,71.35888888888887,70.28555555555552,72.14086021505372,69.63111111111107,71.84623655913975,65.31397849462363,68.6433333333333,68.94193548387096,79.64666666666668,79.47741935483869
5,85.50752688172042,84.3130952380952,81.91720430107524,79.4244444444444,82.8096774193548,84.76111111111108,78.67849462365588,75.62688172043006,78.45111111111109,72.69784946236558,85.38111111111111,83.89892473118279
6,101.58602150537632,101.20595238095234,100.5043010752688,94.8033333333333,100.7870967741935,106.49999999999997,87.26559139784942,91.17526881720427,96.85666666666664,86.75483870967743,103.21000000000001,96.54623655913976
7,120.15591397849461,120.3190476190476,121.7086021505376,113.08777777777775,119.96236559139781,130.25999999999996,108.81720430107524,118.24516129032254,122.42555555555553,108.08924731182795,126.47888888888889,112.52580645161288
8,138.53333333333333,137.59047619047615,139.22258064516126,128.84222222222218,136.2150537634408,146.6544444444444,126.72365591397846,139.77096774193544,145.5922222222222,132.02903225806452,151.58333333333334,129.89139784946235
9,152.12473118279567,151.17619047619044,151.41397849462362,140.23888888888885,148.905376344086,156.32111111111107,136.4623655913978,151.26344086021504,162.15777777777777,147.76129032258063,166.95555555555558,140.60860215053762
10,160.41827956989246,159.05595238095233,158.77096774193546,145.6233333333333,158.6322580645161,159.54999999999998,133.83870967741933,149.31612903225803,170.54444444444442,154.747311827957,174.41555555555553,146.12473118279567
11,162.43763440860215,162.81904761904758,162.7365591397849,147.75666666666663,163.8397849462365,160.3044444444444,127.65268817204297,144.16451612903222,176.5222222222222,159.28064516129032,178.11888888888888,149.1236559139785
12,160.7010752688172,161.8833333333333,162.88602150537633,147.61666666666665,165.02688172043005,161.15777777777777,128.08387096774192,144.47096774193543,180.54666666666665,161.66236559139784,178.85333333333335,150.44408602150537
13,158.3494623655914,160.76666666666662,161.09892473118276,148.29555555555552,164.16559139784943,161.65333333333328,126.84193548387094,144.863440860215,182.58333333333334,161.96129032258065,177.9488888888889,150.34086021505374
14,154.48709677419353,157.2833333333333,156.42150537634404,145.1233333333333,161.02150537634407,159.54666666666662,125.51182795698922,143.15161290322578,178.65444444444444,155.78817204301075,172.46666666666667,146.41935483870964
15,148.5204301075269,153.49166666666662,151.18924731182793,140.80222222222218,156.1537634408602,155.0255555555555,121.04838709677416,137.7838709677419,172.0211111111111,147.73655913978493,165.03333333333333,141.1311827956989
16,140.5537634408602,147.03452380952376,144.56021505376341,133.16555555555553,149.01397849462361,147.50777777777776,114.16774193548383,129.82473118279566,163.89,139.5268817204301,156.96444444444444,135.06021505376341
17,131.67419354838708,138.56547619047615,136.82258064516125,125.32999999999996,141.17096774193544,139.3044444444444,105.77741935483867,120.25806451612898,154.1211111111111,132.15591397849462,147.8277777777778,128.04301075268816
18,121.25698924731181,127.58333333333329,126.81612903225805,115.66888888888886,133.30107526881716,127.13555555555553,92.64193548387094,103.94301075268814,136.17444444444442,123.16021505376344,136.78333333333333,120.01397849462364
19,109.63655913978492,115.09523809523806,115.16774193548383,105.29777777777775,122.7354838709677,114.50111111111109,82.17741935483868,90.24193548387092,118.63222222222221,113.66559139784945,123.66444444444444,111.16236559139783
20,97.77204301075268,100.84880952380948,101.17419354838707,94.06999999999996,108.6118279569892,99.22111111111107,73.46451612903223,77.52688172043007,99.99444444444443,102.05591397849462,109.06111111111112,101.50967741935482
21,87.71720430107526,86.67738095238091,87.23440860215051,82.80555555555551,90.85376344086018,84.66333333333328,72.46559139784944,73.6333333333333,88.93999999999998,91.08924731182795,96.31333333333333,92.05913978494623
22,80.6516129032258,77.12738095238092,77.12795698924728,74.80999999999996,78.24838709677415,73.6933333333333,72.09999999999997,69.71827956989243,78.20999999999998,81.24086021505376,87.67,84.94838709677418
23,75.58817204301073,72.18095238095235,71.7086021505376,70.05111111111107,71.21720430107523,67.04999999999997,71.88387096774191,67.16344086021502,71.88999999999997,75.59247311827957,83.52222222222223,81.03924731182795
