Datetime,Winter,Spring,Summer,Autumn
0,14.865740740740733,12.98115942028985,10.895289855072454,11.86410256410255
1,12.947407407407402,11.100362318840576,9.389855072463758,10.247985347985335
2,11.842962962962957,10.219202898550721,8.45072463768115,9.241391941391928
3,11.27555555555555,9.710256410256406,7.915579710144918,8.747826086956508
4,11.058518518518513,9.395970695970691,7.574999999999991,8.58461538461537
5,11.291111111111105,9.161231884057967,7.445652173913033,8.835531135531122
6,12.207037037037031,9.36992753623188,7.339130434782599,9.867032967032953
7,13.756296296296291,9.822463768115938,7.584057971014483,11.44505494505493
8,15.523333333333328,10.027173913043475,7.687681159420281,12.971062271062257
9,16.861111111111107,9.604347826086952,7.808695652173904,13.279120879120866
10,17.998148148148143,8.967391304347823,7.686594202898542,13.07216117216116
11,18.860740740740734,8.708333333333329,8.095652173913034,12.872161172161158
12,19.730370370370366,8.854710144927532,8.506884057971005,13.44468864468863
13,20.083703703703698,9.218115942028982,8.67463768115941,14.117216117216103
14,20.424074074074067,9.588768115942026,8.607608695652164,14.434432234432222
15,20.819259259259255,10.537681159420286,9.017028985507237,14.666666666666652
16,22.031111111111105,12.714492753623183,10.334420289855062,15.487912087912074
17,23.556296296296292,15.797463768115938,12.178260869565209,17.438461538461524
18,25.092962962962954,19.363043478260867,14.30108695652173,19.719780219780205
19,25.774444444444438,21.555072463768113,16.10253623188405,21.449816849816834
20,25.231851851851847,22.041304347826085,17.26159420289854,21.470695970695957
21,23.365555555555552,20.63297101449275,16.97608695652173,19.83333333333332
22,20.57555555555555,18.276086956521734,15.396739130434772,17.057875457875443
23,17.51277777777777,15.505072463768112,13.01268115942028,14.221978021978007
