Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,4.495461538461538,4.584025641025641,4.5235641025641025,4.5822692307692305,4.588955128205128,4.566705128205128,4.616600628930817
1,4.393070512820513,4.45750641025641,4.415871794871794,4.448326923076923,4.455352564102563,4.446705128205128,4.515566037735849
2,4.357576923076922,4.406480769230769,4.367692307692307,4.385461538461538,4.397641025641025,4.389641025641025,4.464861635220125
3,4.356314102564102,4.399820512820512,4.365115384615384,4.3764038461538455,4.382551282051282,4.380583333333333,4.479081761006289
4,4.36825,4.396878205128204,4.3649551282051275,4.38050641025641,4.386673076923076,4.385288461538461,4.451076923076922
5,4.3646666666666665,4.403737179487179,4.372115384615384,4.377237179487179,4.380121794871794,4.383448717948718,4.466339622641509
6,4.3670833333333325,4.398153846153845,4.375237179487179,4.373711538461539,4.379166666666666,4.386948717948718,4.443383647798742
7,4.3715705128205125,4.395666666666666,4.377358974358974,4.3703589743589735,4.37600641025641,4.377717948717948,4.416440251572327
8,4.36952564102564,4.389269230769231,4.386980769230768,4.368955128205128,4.359487179487179,4.360217948717948,4.39354716981132
9,4.351128205128204,4.3949935897435894,4.41125641025641,4.353282051282051,4.352134615384615,4.34525641025641,4.375025157232704
10,4.324858974358974,4.389025641025641,4.429083333333333,4.34451923076923,4.333929487179487,4.318551282051281,4.352088050314465
11,4.305705128205128,4.380166666666666,4.443346153846154,4.333814102564102,4.330647435897435,4.30727564102564,4.324188679245283
12,4.2907115384615375,4.35377564102564,4.430788461538461,4.3242115384615385,4.318608974358974,4.303544871794871,4.311276729559748
13,4.290538461538461,4.338897435897436,4.416525641025641,4.305032051282051,4.316089743589743,4.311128205128204,4.321955974842767
14,4.29501923076923,4.334884615384615,4.385615384615384,4.313173076923077,4.320846153846153,4.3212756410256405,4.339207547169811
15,4.332243589743589,4.3661602564102555,4.379788461538461,4.342108974358974,4.338474358974358,4.353852564102564,4.376182389937107
16,4.391589743589743,4.424961538461538,4.415897435897436,4.43501923076923,4.388121794871794,4.413884615384615,4.423723270440251
17,4.471583333333333,4.499692307692308,4.490044871794871,4.5605064102564095,4.449352564102563,4.482115384615384,4.497968553459119
18,4.54926282051282,4.56225,4.575365384615385,4.67276282051282,4.503025641025641,4.530160256410256,4.554358490566037
19,4.619198717948717,4.608705128205128,4.6308397435897435,4.715153846153846,4.545698717948718,4.573096153846153,4.599867924528302
20,4.686141025641025,4.635679487179487,4.672301282051281,4.718641025641025,4.591608974358974,4.615205128205128,4.63611320754717
21,4.7370192307692305,4.675705128205127,4.699660256410255,4.732532051282051,4.647487179487179,4.6497115384615375,4.673440251572326
22,4.761185897435897,4.695749999999999,4.738198717948718,4.756743589743589,4.695596153846154,4.680339743589743,4.700421383647798
23,4.699801282051282,4.6378589743589735,4.693846153846153,4.697294871794871,4.6687628205128195,4.646358974358974,4.654336477987421
