Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,3.770512820512803,3.796153846153829,3.4865384615384425,3.4237179487179312,3.7320512820512644,3.5807692307692136,4.79119496855344
1,3.7826923076922894,3.9288461538461372,3.6442307692307514,3.5179487179487,3.797435897435879,3.545512820512804,4.070440251572309
2,3.941025641025623,4.175641025641007,3.960256410256392,3.795512820512802,4.101282051282032,3.4391025641025474,4.058490566037719
3,4.123076923076907,4.439102564102547,4.29166666666665,4.116666666666649,4.428205128205109,3.301282051282035,4.316352201257847
4,3.948076923076907,4.274358974358958,4.098717948717932,3.931410256410238,4.178205128205111,3.192307692307675,4.083974358974344
5,3.653205128205111,3.8865384615384433,3.6442307692307514,3.4801282051281857,3.6288461538461356,3.1794871794871606,3.625786163521995
6,4.6429487179487,4.916025641025623,4.6352564102563925,4.335256410256392,4.3891025641025445,3.393589743589725,3.3867924528301705
7,7.462820512820494,8.052564102564084,8.08525641025639,7.221153846153826,7.09423076923075,4.775641025641006,4.29874213836476
8,11.037820512820494,11.869871794871775,12.326923076923057,11.043589743589724,10.773717948717929,8.21025641025639,6.659119496855328
9,15.596153846153827,16.29871794871793,17.533333333333314,16.015384615384594,15.756410256410238,12.666025641025621,10.169182389937088
10,18.264102564102544,17.900641025641008,20.424358974358956,18.18397435897434,18.75448717948716,16.25897435897434,12.904402515723252
11,20.42499999999998,19.17499999999998,22.34615384615383,19.659615384615364,21.45576923076921,19.095512820512802,14.100628930817592
12,18.491025641025622,17.33525641025639,20.39999999999998,17.658333333333314,20.167948717948697,20.655769230769213,14.774213836477967
13,17.225641025641007,17.437179487179467,19.049358974358956,17.580769230769214,19.66602564102562,22.13076923076921,16.00062893081759
14,18.128846153846133,19.258333333333315,20.603205128205108,19.2480769230769,20.96474358974357,22.82948717948716,17.957861635220105
15,24.60641025641024,25.8679487179487,27.337820512820493,26.135897435897416,26.200641025641005,24.75705128205126,20.222641509433945
16,31.520512820512803,32.40064102564101,33.72435897435896,32.25384615384613,31.069871794871776,25.73397435897434,21.838993710691803
17,36.45641025641024,36.75769230769229,37.88782051282049,36.68397435897434,33.74358974358972,25.98012820512819,22.70691823899369
18,36.9955128205128,36.68846153846152,37.899999999999984,36.40576923076921,33.41474358974357,24.168589743589727,21.401257861635198
19,35.389102564102544,34.058333333333316,36.075641025641005,34.790384615384596,31.04871794871793,21.242307692307673,16.96415094339621
20,27.855128205128185,26.859615384615363,28.441666666666645,27.77756410256408,24.174358974358956,15.752564102564083,11.009433962264131
21,17.02628205128203,16.27243589743588,17.214102564102543,17.137820512820493,14.632051282051263,10.528205128205109,6.061006289308157
22,7.580769230769213,7.447435897435877,7.701282051282034,7.908333333333314,7.094871794871777,6.986538461538444,4.27861635220124
23,3.717307692307675,3.4320512820512628,3.5737179487179302,3.770512820512802,3.7653846153845976,5.711538461538442,4.136477987421366
