Datetime,ICT_avg_kWh_per_m2
0,0.012540113873188749
1,0.012398046447874272
2,0.01227339487494634
3,0.012169779955326119
4,0.012103959593664317
5,0.012450762108578418
6,0.013608378173251924
7,0.015060691424943198
8,0.016515389204091947
9,0.017453652747987856
10,0.018168506873720465
11,0.018596737598356755
12,0.018744778344969907
13,0.018847225006171364
14,0.018875767319731125
15,0.018788884101163177
16,0.01846443633331693
17,0.017826847298622456
18,0.016967649244012777
19,0.015586367704536244
20,0.014392295575781363
21,0.013361899652203068
22,0.01300879754601718
23,0.012706458668657508
