,TARGET
consumption_per_sqm_roll_std_6h,0.3928912036276113
building_size_m2_x_cloud_cover,0.3782784389004474
consumption_per_sqm_roll_min_12h,0.36713698212668955
consumption_per_sqm_roll_min_168h,0.35481686387589473
consumption_per_sqm_roll_min_24h,0.35439251573796066
consumption_per_sqm_roll_min_336h,0.3539046652670773
consumption_per_sqm_roll_min_48h,0.35177929927033846
consumption_per_sqm_roll_min_72h,0.35130507402145594
building_size_m2_x_air temperature,0.3509347273900377
consumption_per_sqm_roll_std_3h,0.3327153963876687
consumption_per_sqm_lag_12h,0.32933025486431655
dayofweek_sin,0.1292959088724745
log_building_size_m2_x_air temperature,0.1121958086627742
cdd,0.0976914391692639
air temperature_cubed,0.09528987021603766
hour,0.08875550326502787
air temperature_sq,0.0852127317277397
air temperature_x_hour,0.07734740374253066
log_building_size_m2_x_cloud_cover,0.07099680279627661
air temperature,0.06437721595887008
air temperature_lag_24h,0.06035101868244083
air temperature_lag_1h,0.05755155001212307
Mean wind speed,0.05317317326632175
air temperature_lag_2h,0.04830375151613109
air temperature_roll_mean_3h,0.04790367452370605
air temperature_x_season_Spring,0.043465920287774115
air temperature_roll_std_6h,0.0419822436565895
air temperature_roll_std_12h,0.04091291024815637
air temperature_lag_3h,0.03745073707726154
air temperature_roll_std_3h,0.03526604166296197
air temperature_x_season_Autumn,0.03264408028917612
season_Autumn,0.031880785386348844
air temperature_roll_mean_6h,0.03137561341063911
dayofyear,0.030494878664945227
air temperature_x_season_Summer,0.026307351393683495
Relative humidity (%)_roll_std_6h,0.02512503312740752
Relative humidity (%)_roll_std_3h,0.024910210503805385
Relative humidity (%)_roll_mean_12h,0.023626904925451497
visibility_lag_24h,0.023079808357619247
air temperature_roll_mean_24h,0.022813435991134005
air temperature_roll_std_24h,0.021271145716044618
visibility,0.018278969943713808
Relative humidity (%)_roll_std_24h,0.015018141723854373
air temperature_x_season_Winter,0.015012431053121757
visibility_lag_1h,0.013732356513325356
Relative humidity (%)_roll_std_12h,0.013147763959361278
visibility_roll_std_12h,0.00971835404320214
visibility_roll_mean_3h,0.009283072698057636
visibility_lag_2h,0.008669324599892565
Atm pressure mm of mercury,0.008425022402050075
air temperature_roll_mean_12h,0.007128354761917934
visibility_roll_std_6h,0.006973293793814563
visibility_roll_mean_24h,0.004793338064532499
cloud_cover_percentage_roll_std_3h,0.0042224507974936475
visibility_lag_3h,0.003428748499780998
season_Spring,0.003041733618162389
visibility_roll_std_3h,0.001666209057512501
visibility_roll_mean_6h,0.0013827959021880775
season_Summer,0.0013277484086516604
cloud_cover_percentage_roll_std_6h,-0.0008754117341981461
cloud_cover_percentage_lag_1h,-0.004090532475426921
cloud_cover_percentage_lag_2h,-0.004289819357559338
cloud_cover_percentage,-0.00455865425529513
cloud_cover_percentage_roll_mean_3h,-0.004660983990293625
cloud_cover_percentage_lag_3h,-0.005033962076421952
cloud_cover_percentage_lag_24h,-0.005243637784117756
cloud_cover_percentage_roll_mean_6h,-0.00670389843089008
visibility_roll_mean_12h,-0.00920121610417142
visibility_roll_std_24h,-0.009510772652029603
